num,reg,amo,nitrato,fosfo,potas,ph,mg,sulf,fe,cu,cl,ca,b,soco
1,Qinghai-Tibet Plateau,9.14,25.85,39.38,167.9,6.79,4.59,23.99,5.6,0.26,44.97,19.35,0.58,26.76
2,Qinghai-Tibet Plateau,36.06,97.26,50.02,174.4,8.42,0.54,13.97,13.99,0.89,59.22,7.65,1.83,40.77
3,Qinghai-Tibet Plateau,36.23,74.3,33.32,134,8.47,0.54,13.56,14.63,0.8,36.03,7.65,1.52,42.77
4,Qinghai-Tibet Plateau,29.81,81.05,30.49,91.83,7.5,0.27,16.54,27.12,0.77,37.84,7.65,1.6,43.26
5,Qinghai-Tibet Plateau,40.5,95.37,46.65,168.4,8.28,0.81,18.69,21.1,0.96,7.55,6.75,1.35,31.55
6,Qinghai-Tibet Plateau,46.47,124.3,32.21,144.9,7.6,0.54,24.34,24.55,0.74,12.24,7.65,1.56,40.37
7,Qinghai-Tibet Plateau,24.78,74.3,45.13,135.8,8.48,0.27,12.68,28.79,0.82,10.46,8.55,1.32,42.18
8,Qinghai-Tibet Plateau,60.13,40.2,54.8,69.06,8.36,1.35,35.83,3.16,0.82,30.52,9.9,0.26,17.75
9,Qinghai-Tibet Plateau,98.39,44.45,69.61,32.31,8.2,1.08,26.9,4.12,0.72,22.4,11.7,0.28,26.18
10,Qinghai-Tibet Plateau,62.97,61.93,98.94,56.81,8.58,0.54,48.4,2.02,0.61,24.5,12.15,0.23,15.46
11,Qinghai-Tibet Plateau,46.76,79.2,35.6,111.5,7.1,0.54,27.04,61.45,1.24,3.94,1.8,0.3,34.37
12,Qinghai-Tibet Plateau,29.45,62.26,48.86,119.4,8.24,5.13,6.89,8.11,0.34,2.55,9,0.26,28.05
13,Northeast China Plain,33.21,51.93,87.15,123.8,7.1,2.16,10.58,9.99,0.88,6.86,14.4,0.17,25.24
14,Northeast China Plain,28.15,73.68,38.43,124.4,6.7,2.43,10.56,70.45,1.86,6.99,7.2,1.41,33.45
15,Northeast China Plain,35.2,79.19,31.9,139.9,6.92,1.89,23.45,67.82,1.76,4.28,8.55,1.26,35.5
16,Northeast China Plain,36.27,52.69,16.86,120.9,6.5,1.62,20.42,71.34,1.87,10.55,7.65,1.39,32.45
17,Northeast China Plain,28.45,47.99,15.39,132.2,7.25,1.89,22.15,57.41,1.63,7.64,8.55,1.34,35.26
18,Northeast China Plain,42.76,61.04,18.78,103.9,7.16,1.35,10.98,63.9,1.4,20.49,6.75,1.28,33.1
19,Northeast China Plain,38.71,67.01,13.93,130.7,6.77,1.89,18.28,69.93,1.71,6.98,7.65,1.23,32.64
20,Northeast China Plain,42.58,62.8,12.92,125.4,6.99,1.89,22.15,69.76,1.63,74.32,7.65,1.24,34.39
21,Northeast China Plain,40.36,63.42,14.59,120.8,7.35,1.62,20.86,56.69,1.32,52.68,7.65,1.25,32.99
22,Northeast China Plain,18.47,38.65,35.41,248.8,8.21,1.08,9.41,8.79,0.99,9.75,10.35,0.73,39.79
23,Northeast China Plain,40.51,42.93,42.31,193.2,6.61,1.08,2.46,41.67,0.52,22.1,8.55,0.78,51.77
24,Northeast China Plain,38.3,70.6,43.82,284.4,6.57,1.35,2.46,49.46,0.8,18.25,8.1,0.76,54.52
25,Northeast China Plain,32.42,56.01,42.1,197.5,6.98,1.35,9.03,37.13,1.55,24.19,9,0.63,50.06
26,Northeast China Plain,26.11,19.92,45.33,213.4,7.33,1.62,4.58,19.59,1.16,13.25,9.45,0.63,38.13
27,Northeast China Plain,33.92,34.85,37.23,171.6,6.1,2.16,9.41,50.78,0.63,30.21,6.75,0.66,49.21
28,Northeast China Plain,36.48,65.7,39.54,280.7,6.98,2.16,4.38,39.78,0.75,11.21,8.55,0.61,36.63
29,Inner Mongolia Plateau,61,64.91,44.53,403.2,8.35,0.27,22.36,4.12,0.73,62.77,8.55,0.61,22.9
30,Inner Mongolia Plateau,24.23,45.5,32.15,289.3,9.03,0.27,25.62,10.42,1.08,28.4,7.2,1.18,17.29
31,Inner Mongolia Plateau,22.36,28.16,32.93,246.5,8.41,0.81,67.84,20.3,1.8,58.5,6.3,1.76,19.22
32,Xinjiang Province,30.28,50.92,53.78,150.9,8.49,1.35,18.72,4.36,0.88,16.78,11.25,0.24,16.5
33,Xinjiang Province,37.2,19.48,138.5,215.2,7.23,3.78,40.6,2.97,4.59,17.79,11.7,0.58,20.91
34,Xinjiang Province,90.84,32.34,164.4,168.7,6.85,4.32,49.2,2.5,2.48,6.71,9.9,0.41,50.72
35,Xinjiang Province,50.08,40.84,147.3,131.3,7.52,5.4,41.45,2.08,3.73,31.48,10.35,0.9,56.33
36,Huanghuai Region,118.5,21.56,33.49,225.3,5.58,0.32,5.54,35.17,1.38,12.97,3.78,0.42,30.5
37,Huanghuai Region,108.2,56.88,123.02,100.4,5.11,0.22,19.12,42.18,1.51,91.08,4.32,0.65,17.73
38,Huanghuai Region,26.42,40.61,88.84,12.97,5.77,2.7,10.78,42.18,2.45,9.75,22.5,0.55,15.47
39,Huanghuai Region,29.58,88.41,131.06,94.95,5.16,4.86,7.66,51.91,1.82,2.84,12.15,0.5,30.85
40,Huanghuai Region,35.44,50.96,116.94,77.17,5.62,12.15,13.54,56.86,3.09,19.73,12.15,0.45,17.05
41,Huanghuai Region,44.9,71.8,95.2,192.2,5.86,4.59,12.47,50.24,2.04,6.25,6.75,0.47,16.03
42,Huanghuai Region,42.21,106.8,147.5,127.6,5.5,3.51,6.72,50.76,2.33,24.42,10.35,0.72,17.27
43,Huanghuai Region,45.04,85.4,141.08,59.87,5.3,3.78,8.41,56.25,1.85,9.24,12.15,0.57,23.84
44,Huanghuai Region,32.43,36.24,67.13,294.8,5.58,4.86,5.18,28.22,1.18,11.57,6.3,0.55,16.82
45,Huanghuai Region,51.6,79.37,208.2,320.2,5.47,6.75,4.67,34.46,1.29,64.49,9,0.59,17.5
46,Huanghuai Region,34.58,71.8,120.86,86.09,6.29,5.67,22.8,44.49,1.62,9.24,9.9,0.78,18.19
47,Huanghuai Region,34.46,37.68,123.4,201.6,5.6,6.75,6.98,50.5,2.02,11.57,9.45,0.69,22.11
48,Yangtze Plain,48.89,99.44,51.19,74.84,5.12,0.59,19.35,61.93,1.29,12.06,3.24,0.07,25.78
49,Yangtze Plain,18.8,34.42,33.9,205.3,8.03,1.89,21.68,18.43,0.78,1.56,12.15,0.12,19.06
50,Yangtze Plain,23.49,144,23.09,134.5,4.53,0.16,9.91,85.78,1.6,17.62,2.43,0.14,26.47
51,Yangtze Plain,66.67,80.71,29.71,132.7,7.95,1.03,21.68,11.35,0.66,0.64,6.21,0.08,28.13
52,Yangtze Plain,37.5,94.51,38.14,56.57,5.16,0.16,18.62,35.65,1.26,10.45,5.22,0.2,25.66
53,Yangtze Plain,35.02,94.97,40.32,32.04,5.66,0.97,0.46,62.93,0.7,13.02,5.58,0.15,29.45
54,Yangtze Plain,28.8,154.88,158.4,213.4,5.88,0.32,12.55,72.32,1.13,6.94,2.16,0.33,23.22
55,Yangtze Plain,37.19,101.4,122.44,67.73,6.6,0.92,16.16,39.66,1.05,3.6,5.22,0.17,25.74
56,Yangtze Plain,18.99,87.98,20.29,47.21,5.9,0.86,9.43,48.98,1.33,22.1,3.06,0.16,17.85
57,Yangtze Plain,29.18,57.48,20.76,100.1,6.7,0.7,18.32,30.7,4.38,17.36,5.58,0.13,19.34
58,Yangtze Plain,147.8,93.36,50.54,288.6,7.91,4.32,9.03,12.42,2.03,12.68,13.5,0.15,19.81
59,Yangtze Plain,26.92,99.78,48.57,149.4,6.3,1.08,29.76,41.84,3.1,26.3,3.6,0.12,19.92
60,Yangtze Plain,133.1,19.78,41.91,278.3,5.91,0.92,12.15,18.48,1.5,14.43,3.87,0.09,19.22
61,Yangtze Plain,212.5,62.46,34.12,287.5,6.3,1.03,9.8,72.82,3.16,29.31,3.15,0.06,22.29
62,Yangtze Plain,15.51,42.16,41.68,113.8,6.28,6.48,0.75,40.1,2.25,6.58,9,0.67,22.66
63,Yangtze Plain,33.96,54.31,42.94,80.67,8.05,2.97,33.08,17.02,3.83,32.42,12.15,0.44,38.2
64,Yangtze Plain,34.98,47.99,55.06,37.13,6.8,4.05,12.27,42.38,1.8,119.2,10.8,0.33,36.51
65,Yangtze Plain,34.21,60.67,44.49,129.2,7.81,5.4,4.2,33.24,2.83,15.77,10.35,0.48,32.19
66,Yangtze Plain,34.47,70.28,39.46,246.7,7.59,6.48,17.84,24.4,3.36,15.21,9,0.89,45.68
67,Yangtze Plain,40.13,33.23,35.63,169.2,7.56,5.4,14.41,18.02,3.14,5.22,8.55,0.36,42.9
68,Yangtze Plain,48.83,35.54,43.71,142.3,6.4,5.67,10.56,40.44,1.71,10.38,7.2,0.18,50.97
69,Yangtze Plain,40.48,37.09,26.9,103.5,8.1,5.67,55.44,48.51,3.82,15.77,9,1.27,32.34
70,Yangtze Plain,45.09,31.68,37.55,130.7,6.42,1.08,17.41,67.17,2.56,29.42,1.71,0.27,37.87
71,Yangtze Plain,20.34,90.35,43.33,87.39,6.65,1.03,4.61,30.8,1.12,27.26,1.89,0.23,45.68
72,Yangtze Plain,11.37,69.43,18.88,99.7,6.18,0.97,10.98,78.4,3.11,31.24,2.16,0.18,34.9
73,Yangtze Plain,20.88,88.48,64.92,203.5,6.42,1.19,11.83,40.6,2.14,72.29,2.34,0.22,44.23
74,Yangtze Plain,19.67,65.82,42.18,139.6,7.13,0.97,6.31,30.04,1.9,58.83,1.98,0.77,42.13
75,Yangtze Plain,31.28,97.9,42.51,112.9,7.24,0.11,10.56,15.68,1.31,52.29,0.9,1.29,40.37
76,Yangtze Plain,23.96,72.69,53.61,30.92,8.55,1.89,6.89,13.76,0.98,4.85,12.6,0.23,19.22
77,Yangtze Plain,25.62,80.01,31.59,110.7,8.26,7.56,49.36,49.46,2.51,71.25,18,0.36,30.02
78,Yangtze Plain,35.83,69.46,33.25,111.7,8.42,7.83,59.76,26.59,1.38,40.92,21.6,0.19,27.4
79,Yangtze Plain,39.39,99.93,42.18,220,5.76,0.7,66.12,70.21,2.4,15.59,4.77,0.26,36.49
80,Yangtze Plain,28.25,91.7,35.24,266.3,7.14,0.16,24.05,45.19,2.12,24.05,4.5,0.19,29.45
81,Yangtze Plain,109.1,98.04,37.32,283.4,5.84,0.16,21.81,51.93,1.08,11.24,3.42,0.11,23.5
82,Yangtze Plain,50.08,209.3,33.64,221,5.78,0.38,62.95,68.12,2.08,4.27,5.4,0.33,37.3
83,Yangtze Plain,44.27,144.2,45.27,129.1,8.03,3.78,1.86,25.65,0.95,73.64,20.7,0.35,31.56
84,Yangtze Plain,22.98,34.71,78.96,144.4,5.91,6.75,2.64,43.56,2.48,8.24,9.45,0.53,25.66
85,Yunnan-Kweichow Plateau,27.28,11.47,43.35,137.3,7.22,1.35,25.88,24.36,6.4,24.08,2.25,0.74,36.33
86,Yunnan-Kweichow Plateau,22.34,27.46,46.3,173.5,7.19,1.62,14.88,21.79,6.74,21.35,2.88,0.64,44.73
87,Yunnan-Kweichow Plateau,24.35,20.16,38.71,150.1,7.26,1.73,31.61,22.72,6.48,25.8,2.52,0.56,38.04
88,Yunnan-Kweichow Plateau,22.93,43.59,45.55,133,7.35,1.46,22.11,19.79,6.05,20.68,2.43,0.54,39.57
89,Yunnan-Kweichow Plateau,56.53,136.65,71.5,138.25,6.85,1.35,27.31,26.89,0.97,33.21,2.98,0.74,43.54
90,Yunnan-Kweichow Plateau,32.07,45.2,63.3,136.2,7.44,1.62,19.77,20.33,1.96,29.97,3.86,0.64,41.04
91,Yunnan-Kweichow Plateau,50.58,119.43,108.96,126.97,7.54,1.73,31.61,32.69,1.32,25.8,2.52,0.56,28.32
92,Yunnan-Kweichow Plateau,57.22,125.6,88.39,146.73,6.98,1.38,43.87,38.98,1.58,27.73,2.76,0.42,25.23
93,Yunnan-Kweichow Plateau,54.24,179.2,64.81,171.55,7.76,0.89,32.45,20.24,2.24,24.41,1.99,0.78,31.59
94,Yunnan-Kweichow Plateau,22.59,113.33,79.71,127.17,7.11,2.02,28.98,18.89,1.53,21.37,3.43,0.89,35.43
95,Yunnan-Kweichow Plateau,55.85,97.86,84.48,269.5,7.38,1.64,49.56,39.66,5.64,7.8,2.78,0.28,57.35
96,Yunnan-Kweichow Plateau,42.92,112.34,79.67,210.9,7.43,1.77,100.8,35.03,5.06,6.67,2.43,0.53,49.28
97,Yunnan-Kweichow Plateau,42.29,108.73,86.34,234.5,7.26,1.49,102.4,44.32,6.42,10.07,2.51,0.47,53.44
